Glacier name;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014
du Vallonnet;2.1;-0.11;-0.89;-1.08;-1.05;-1.21;-1.55;-1.44;-1.43;-1.08;-0.82;0.82;0.08;-0.75;-1.11;-1.04;-1.09;1.26;0.31;-1.34;-1.56;-1.16;-1.01;-1.02;-1.18;-1.22;0.19;-1.11;;-1.08;-0.85
de Rochemelon;0.63;-0.03;-1.33;-0.25;-0.48;-1.4;-2.11;-1.94;-1.92;-0.91;-0.52;0.33;-0.2;-1.14;-1.82;-1.36;-1.63;0.77;-0.26;-1.57;-1.44;-2.19;-1.5;-1.67;-1.83;-1.99;-1.46;-1.84;;-1.04;-1.93
Baounet 1_1;0.92;0.65;-0.9;-0.43;-0.89;-1.58;-1.88;-2.12;-2.11;-1.09;-0.82;0.14;-0.72;-1.33;-1.9;-1.58;-1.16;0.36;-0.8;-1.83;-2;-2.09;-1.69;-1.74;-1.75;-2.17;-1.82;-2.14;;-1.65;-1.75
du Grand Mean Nord 1;0.54;0.41;-0.95;-0.09;-0.59;-0.92;-1.76;-1.78;-1.77;-0.75;-0.35;0.48;-0.12;-0.99;-1.94;-0.75;-1.12;0.92;0.18;-2.22;-1.92;-1.8;-1.35;-0.77;-0.91;-1.37;-1.4;-1.72;;-1.04;-1.36
du Mulinet;1.12;0.27;-1.3;0.07;-0.19;-1.34;-1.64;-1.62;-1.61;-0.59;-0.15;0.64;0.04;-0.83;-1.43;-0.96;-1.11;1.08;-0.34;-1.98;-1.5;-1.48;-1.18;-0.63;-1.05;-1.32;-1.29;-1.48;;-0.97;-1.39
de la Sassiere;1.77;1.01;-1.13;1.1;0.06;-0.27;-1.9;-2.17;-1.65;-0.64;-0.5;0.6;0;-1.18;-1.64;-0.1;-1.17;1.03;0.21;-2;-2.47;-2.21;-1.23;-1.2;-1.83;-2;-1.29;-1.31;-2.14;-0.96;-1.2
de la Savinaz;2.67;2.33;-0.94;1.59;1.67;-1.03;-2.3;-1.44;-2.54;-0.53;-0.31;0.71;0.11;-1.23;-1.17;-0.94;-1.16;2.34;-0.85;-3.57;-2.51;-2.42;-0.58;-0.6;-1.89;-1.17;-1.06;-2.34;-2.79;-0.39;-1.08
de la Gurraz;2.53;1.16;-0.88;0;1.99;-1.21;-1.35;-1.29;-2.15;-0.4;-0.76;0.84;0.23;-1.16;-1.14;-1.27;-0.91;1.39;-0.14;-2.2;-1.48;-1.45;-1.15;-0.98;-1.58;-1.81;-1.31;-2.08;-1.76;-0.92;-0.96
de Tre la Tete 1;2.76;0.83;-0.89;1.06;-0.65;-3.03;-3.92;-0.1;-3.05;-1.16;-0.48;0.71;-0.71;-1.55;-3.09;-0.37;0.59;0.65;0.31;-3.8;-3.45;-2.96;-0.71;0.4;-0.65;-3.43;-0.07;-1.97;-2.12;-0.12;-1.51
de Talefre;1.78;2.54;-2.26;1.48;-0.56;-1.39;-2.18;-0.52;-1.44;-2.22;0.04;1.15;-0.29;-0.86;-1.9;-0.42;0.12;0.15;-0.32;-1.9;-2.33;-2.2;-1.54;-1.44;-2.02;-3.44;-1.33;-1.53;-2.37;-1;-1.86
Tour;1.68;0.91;-2.4;0.96;0.48;-0.19;-2.66;-0.61;-1.49;-0.49;0.48;1.28;0.59;-0.27;-2.52;0.07;-0.3;0.54;-0.07;-2.94;-2.09;-2.11;-0.72;0.53;-1.55;-2.83;-0.44;-2.58;-2.87;-0.25;-0.68
d'Argentiere;0.42;0.55;-0.73;0.2;-0.53;-0.87;-1.3;-0.97;-0.95;-0.4;-0.6;1.31;-0.3;-0.42;-1.09;-0.37;-1.16;0.22;-0.47;-1.56;-1.72;-1.84;-1.64;-1.06;-1.76;-2.22;-1.1;-1.83;-1.86;-0.96;-1.04
