Area;Perimeter;Glacier;Année;Massif;WGI;Opérateur;MEAN_Pixel;MIN_PixelV;MAX_PixelV;MEDIAN_Pix;date;data_sourc;institutio;date_analy;FID_1;Length;aspect_sec;x_coord;y_coord;GLIMS_ID;analyst_2;processing;MEAN_Pix_1
0.8677;8.5221;Glacier du Casset;2015;Ecrins;F4N01084A04;Antoine Rabatel;3189.49355433;2771;3597;3171.0;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;542;1882.63383;NNE;6.4380956218;44.9562333811;G006439E44956N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;30.577
1.0041;9.7575;Glacier du Monetier_1;2015;Ecrins;F4N01084A02;Antoine Rabatel;3234.58132045;2883;3462;3249.0;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;545;1345.73314;E;6.4461621769;44.9351773584;G006439E44949N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;20.563
0.6342;6.3000;Glacier de Seguret Foran;2015;Ecrins;F4N01083B26;Antoine Rabatel;3211.67085427;2858;3445;3237.0;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;525;1580.47230;ENE;6.4576298201;44.9281285771;G006457E44928N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;24.189
0.5305;10.0279;Glacier du Clot des Cavales_1;2015;Ecrins;F4N01165C02;Antoine Rabatel;3081.97865854;2773;3480;3078.5;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;508;1069.80884;NE;6.3316851369;44.9749094597;G006331E44977N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;37.828
0.5949;8.1867;Glacier de la Plate des Agneaux_2;2015;Ecrins;F4N01165B04;Antoine Rabatel;3203.45212766;2834;3634;3171.0;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;520;1044.76127;NE;6.3565825632;44.9476748993;G006350E44954N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;30.932
1.2765;12.6519;Glacier de la Plate des Agneaux_1;2015;Ecrins;F4N01165B04;Antoine Rabatel;2603.10566038;2242;3018;2586.0;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;558;4001.24660;NE;6.3504883854;44.9544356340;G006350E44954N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;30.932
1.8767;11.7219;Glacier de Bonne Pierre_1;2015;Ecrins;F4N01166C26;Antoine Rabatel;2787.04696840;2420;3274;2794.0;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;573;3525.35174;W;6.3394635859;44.9317524575;G006337E44931N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;20.819
0.6728;7.8280;Glacier du vallon de la Pilatte_1;2015;Ecrins;F4N01166D03;Antoine Rabatel;3446.41706161;3089;3745;3456.5;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;529;1330.11980;SW;6.3491013931;44.9191807466;G006347E44919N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;28.038
4.7030;29.7331;Glacier Blanc_1;2015;Ecrins;F4N01083B21;Antoine Rabatel;3196.08689749;2456;3748;3187.0;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;588;5735.97133;E;6.3764764303;44.9378294587;G006382E44944N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;18.769
1.2739;11.3878;Glacier de la Selle_1;2015;Ecrins;F4N01166A04;Antoine Rabatel;3186.75597484;2942;3769;3128.0;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;557;2072.31863;NNW;6.2771856550;44.9921345945;G006256E44974N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;22.345
0.5751;8.7744;Glacier des Etançons_2_1;2015;Ecrins;F4N01166C14;Antoine Rabatel;3228.67039106;3000;3595;3187.0;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;514;822.77608;WSW;6.3150794398;44.9983715434;G006315E44998N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;49.711
0.8060;7.4076;Glacier du Lautaret_1;2015;Ecrins;F4N01165D03;Antoine Rabatel;3038.36935167;2567;3512;3034.0;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;535;1830.12484;N;6.3337500360;45.0046471746;G006345E45004N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;28.759
0.5924;6.8588;Glacier de l'Homme;2015;Ecrins;F4N01165D03;Antoine Rabatel;3214.78436658;2813;3481;3268.0;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;519;1847.17438;N;6.3255030407;45.0087009870;G006345E45004N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;28.759
1.1439;8.5778;Glacier du Tabuchet;2015;Ecrins;F4N01165E01;Antoine Rabatel;3193.25669958;2773;3498;3205.0;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;550;1598.04513;NNE;6.3207153890;45.0152733711;G006321E45014N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;29.721
1.5028;16.0599;Glacier de la Meije;2015;Ecrins;F4N01165E02;Antoine Rabatel;3191.45589798;2790;3780;3203.0;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;566;2367.18709;NNE;6.3015148679;45.0081745626;G006296E45008N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;30.521
0.9120;12.7273;Glacier du Rateau;2015;Ecrins;F4N01165E03;Antoine Rabatel;2894.57894737;2434;3489;2871.0;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;543;1951.81207;NNE;6.2816642219;45.0089411997;G006284E45012N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;37.307
4.6497;21.7568;Glacier de la Girose_1;2015;Ecrins;F4N01165F02;Antoine Rabatel;3223.74284729;2708;3579;3244.0;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;587;2761.20914;N;6.2523866934;45.0052632702;G006252E45009N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;19.284
2.7093;20.5276;Glacier de Mont de Lans;2015;Ecrins;F4N01165F03;Antoine Rabatel;3233.62130178;2849;3499;3258.0;2015-08-29;Sentinel-2_32TLS_2015-08-29;Université de Grenoble - IGE;01-05-2017;579;2146.67103;NW;6.2196316120;45.0008699581;G006226E45003N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;18.904
