Area;Perimeter;Glacier;Année;Massif;WGI;Opérateur;MEAN_Pixel;MIN_PixelV;MAX_PixelV;MEDIAN_Pix;date;data_sourc;institutio;date_analy;FID_1;Length;aspect_sec;x_coord;y_coord;GLIMS_ID;analyst_2;processing;MEAN_Pix_1
1.3711;12.7820;de Rochemelon;2015;Haute Maurienne;F4N01153D08;Antoine Rabatel;3130.31796117;2935;3261;3155.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;563;2484.25297;NW;7.0700604436;45.2187372681;G007067E45221N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;8.793
9.6936;46.3888;d'Argentiere;2015;Mont Blanc;F4N01235A08;Antoine Rabatel;2808.36389304;2196;4093;2820.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;554;3084.88950;NW;6.9969764977;45.9414003162;G006985E45951N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;24.582
0.5196;5.7405;Du Dome de Chasseforet 1;2015;Vanoise;F4N01152A09;Antoine Rabatel;3318.24358974;3103;3562;3326.5;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;505;1189.69193;ENE;6.7648119460;45.3339866102;G006766E45335N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;16.029
1.1301;7.2138;du Grand Fond;2015;Haute Maurienne;F4N01153C07;Antoine Rabatel;3332.76445087;3016;3591;3360.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;548;2051.33635;SSW;7.0909242861;45.3346944990;G007097E45329N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;15.447
1.1732;12.8184;Superieur du Vallonnet 1;2015;Haute Maurienne;F4N01153B31;Antoine Rabatel;3225.48221906;2841;3445;3264.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;551;1373.83240;NNW;7.0819433509;45.3423296973;G007087E45341N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;25.402
0.5860;4.3048;de Rhemes Golette 1;2015;Haute Vallée de l'Isère;F4N01144D07;Antoine Rabatel;3057.90607735;2901;3217;3075.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;516;1417.30746;NNW;7.0505119168;45.4921970182;G007045E45487N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;14.259
1.8699;8.8140;de la Sassiere;2015;Haute Vallée de l'Isère;F4N01144C03;Antoine Rabatel;3258.27555556;2852;3621;3274.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;572;2105.89748;NW;6.9885574564;45.5106147033;G006988E45515N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;19.254
1.1829;11.0594;de l'Epena;2015;Vanoise;F4N01146B10;Antoine Rabatel;2923.43098592;2569;3673;2869.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;552;2343.60577;NNE;6.8277115028;45.4130400430;G006828E45414N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;28.946
3.1645;15.8007;de l'Arpont;2015;Vanoise;F4N01152A07;Antoine Rabatel;3291.92173913;2738;3581;3338.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;583;2841.99896;ESE;6.7529813147;45.3214419610;G006756E45318N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;18.778
2.6743;12.3823;du Pelve 1;2015;Vanoise;F4N01152A09;Antoine Rabatel;3232.53102190;2754;3525;3253.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;578;3093.21578;ENE;6.7562023602;45.3424761959;G006766E45335N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;16.029
1.3283;11.0227;du Grand Marchet;2015;Vanoise;F4N01146C24;Antoine Rabatel;3011.99752169;2833;3229;2971.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;561;1633.48520;NW;6.7601415371;45.3585748438;G006765E45361N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;11.960
2.9452;11.2555;de l'Arcellin - Roche Ferran 1;2015;Vanoise;F4N001146C21;Antoine Rabatel;3050.74903475;2814;3223;3053.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;581;2799.38772;N;6.7819597722;45.3675772738;G006780E45369N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;9.321
1.3110;15.2942;de la Mahure 2;2015;Vanoise;F4N01152A05;Antoine Rabatel;3238.15716096;2954;3450;3256.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;560;1114.61203;E;6.7404602796;45.3028998344;G006745E45302N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;25.351
7.3900;59.6140;de Tre la Tete 1;2015;Mont Blanc;F4N01239D01;Antoine Rabatel;2961.66430469;2015;3862;3010.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;591;7504.53162;WSW;6.7884495863;45.7935108206;G006784E45784N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;23.798
2.8869;1.3551;Mer de Glace 1;2015;Mont Blanc;F4N01236A01;Antoine Rabatel;2868.59075228;1551;4016;2992.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;594;13115.45043;NW;6.9339830330;45.8754249331;G006977E45894N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;20.800
3.7570;29.3214;de Bionnassay;2015;Mont Blanc;F4N01239A02;Antoine Rabatel;3093.72594502;1760;4258;3028.5;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;585;5586.08734;NW;6.8144089380;45.8453908995;G006811E45849N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;33.145
1.0609;53.4689;des Bossons;2015;Mont Blanc;F4N01237D03;Antoine Rabatel;3589.75113878;1677;4812;3838.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;586;4079.08581;NNW;6.8661609102;45.8563705030;G006865E45868N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;29.184
4.2993;22.8775;de Taconnaz;2015;Mont Blanc;F4N01237E01;Antoine Rabatel;3371.80599251;2108;4311;3441.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;586;4079.08581;NNW;6.8459561684;45.8586186416;G006844E45863N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;31.309
0.5957;7.2713;d'Armancette;2015;Mont Blanc;F4N01239C01;Antoine Rabatel;3279.93162393;2757;3674;3284.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;521;1794.44061;W;6.7814519271;45.8086785186;G006778E45809N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;30.798
1.6018;10.8911;Superieur des Balmes;2015;Haute Vallée de l'Isère;F4N01144B31;Antoine Rabatel;3313.78076525;2854;3547;3335.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;568;1685.51462;NNW;6.9860290163;45.5380682410;G006985E45538N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;20.047
0.7574;7.2761;de la Savinaz;2015;Haute Vallée de l'Isère;F4N01144G08;Antoine Rabatel;3270.54083885;2598;3556;3342.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;534;1857.63396;NE;6.8755517402;45.5160136538;G006883E45518N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;29.695
2.8701;20.6379;de Gebroulaz;2015;Vanoise;F4N01146E06;Antoine Rabatel;3022.77846326;2603;3480;3016.0;2015-08-29;Sentinel-2_32TLR_2015-08-29;Université de Grenoble - IGE;01-05-2017;580;4497.77755;N;6.6317405292;45.2897670588;G006629E45295N;Melanie RAMUSOVIC;based on F PAUL automatic delineation based on NDSI from S-2 images;16.150
