Area;Perimeter;Glacier;Annee;Massif;MEAN_Pixel;MIN_Pixel;MAX_Pixel;MEDIAN_Pix;Length;Aspect;x_coord;y_coord;GLIMS_ID;Massif_SAFRAN;Aspect_num
0.6753;6.3969;des Pelerins;2015;Mont Blanc;2519.054762;2278;2903;2495;1781.92442;NW;6.891522257;45.89114194;G006889E45892N;3;315
0.0323;1.1116;Mer de Glace 2;2015;Mont Blanc;2882.428571;2596;2772;2690;360.66272;NW;6.923988705;45.88663493;G006977E45894N;3;315
0.012;0.5168;Mer de Glace 4;2015;Mont Blanc;3159;3134;3183;3155.5;149.12341;NW;7.002333749;45.88748658;G006977E45894N;3;315
0.1009;2.3047;du Telepherique;2015;Mont Blanc;2681.390625;2598;2794;2673.5;365.48537;NNW;6.880698585;45.885171;G006880E45886N;3;0
0.1108;2.0923;du Capucin;2015;Mont Blanc;2874.739726;2646;3165;2870;674.85768;NE;6.968577821;45.88752224;G006969E45888N;3;45
0.0616;1.8483;de l'Aiguille du Tacul;2015;Mont Blanc;2983.473684;2874;3066;2992;382.94814;NW;6.960525037;45.88663622;G006960E45887N;3;315
0.0228;0.8054;Mer de Glace 3;2015;Mont Blanc;3166.846154;3106;3244;3158;211.50775;NW;6.998854636;45.88330355;G006977E45894N;3;315
0.0927;1.4348;Rond;2015;Mont Blanc;2751.618182;2679;2821;2749;371.31248;WNW;6.875947325;45.87953439;G006875E45880N;3;270
0.0579;1.7751;Ouest de l'Aiguille du Midi;2015;Mont Blanc;2738.552632;2662;2837;2737;522.66965;WNW;6.8822578;45.87679783;G006882E45877N;3;270
0.0438;1.702;du Bourgeat 1;2015;Mont Blanc;2986.571429;2820;3178;2968.5;564.77927;NNW;6.830501817;45.86116825;G006831E45863N;3;0
0.1996;2.3428;de la Griaz 1;2015;Mont Blanc;2992.701613;2783;3199;2998;769.60019;NW;6.823051549;45.86037628;G006823E45859N;3;315
0.0702;1.5098;de Tete Rousse;2015;Mont Blanc;3201;3116;3284;3196;553.82758;W;6.820729548;45.85609659;G006819E45856N;3;270
0.023;1.5066;de la Griaz 3;2015;Mont Blanc;3411.846154;3304;3628;3400;568.34296;NW;6.826216639;45.85596389;G006823E45859N;3;315
0.0452;2.1374;du Tricot;2015;Mont Blanc;2942.678571;2786;3052;2951.5;529.08669;W;6.799779714;45.83790541;G006799E45837N;3;270
1.0967;10.6455;de Miage;2015;Mont Blanc;2762.611765;2376;3678;2634.5;2749.23381;W;6.799984938;45.82799989;G006799E45827N;3;270
0.0505;1.5646;du Paturage des Miages;2015;Mont Blanc;2642.28125;2535;2737;2643.5;436.23802;WNW;6.784588005;45.82269304;G006785E45822N;3;270
0.1075;3.7027;du Col des Miages 2;2015;Mont Blanc;3174.449275;2868;3598;3134;891.07306;N;6.791306394;45.81734206;G006799E45819N;3;0
0.3091;6.2352;de Covagnet;2015;Mont Blanc;2991.349727;2627;3377;3003;1057.32239;NW;6.782911193;45.81549119;G006783E45817N;3;315
0.0929;3.4846;de la Berangere;2015;Mont Blanc;3208.305085;3091;3360;3193;554.06922;SSW;6.777570833;45.79911964;G006776E45799N;3;180
0.0062;0.4449;de Tre la Tete 2;2015;Mont Blanc;3492.5;3450;3526;3497;146.67302;WSW;6.803812164;45.79207277;G006784E45784N;3;270
0.0245;0.8657;de Tre la Tete 3;2015;Mont Blanc;3194.866667;3125;3273;3194;156.52436;WSW;6.799304378;45.79162686;G006784E45784N;3;270
0.0276;1.1616;de la Pyramide Chaplan;2015;Mont Blanc;2937;2884;2980;2932.5;289.65075;NNW;6.755150131;45.77038516;G006755E45771N;3;0
0.2516;4.1377;du Mont Tondu;2015;Mont Blanc;2840.555556;2654;3088;2822;1260.58495;NE;6.761371682;45.77099859;G006762E45772N;3;45
0.299;3.7226;Tour 1;2015;Mont Blanc;3049.308108;2773;3430;3082;1439.51683;NW;7.002341301;45.99649412;G006988E45987N;3;315
7.39;59.614;de Tre la Tete 1;2015;Mont Blanc;2961.664305;2015;3862;3010;7504.53162;WSW;6.788449586;45.79351082;G006784E45784N;3;270
28.869;135.51;Mer de Glace 1;2015;Mont Blanc;2868.590752;1551;4016;2992;13115.45043;NW;6.933983033;45.87542493;G006934E45883N;3;315
0.4933;5.7558;du Col des Miages 1;2015;Mont Blanc;3307.605263;2773;3683;3309.5;879.00398;N;6.801490087;45.81892672;G006799E45819N;3;0
3.757;29.3214;de Bionnassay;2015;Mont Blanc;3093.725945;1760;4258;3028.5;5586.08734;NW;6.814408938;45.8453909;G006811E45849N;3;315
10.609;53.4689;des Bossons;2015;Mont Blanc;3589.751139;1677;4812;3838;4079.08581;NNW;6.86616091;45.8563705;G006865E45868N;3;0
4.2993;22.8775;de Taconnaz;2015;Mont Blanc;3371.805993;2108;4311;3441;4079.08581;NNW;6.845956168;45.85861864;G006844E45863N;3;0
0.2999;6.5268;de l'Arete de l'Aiguille du Midi;2015;Mont Blanc;3012.956989;2865;3106;3027;442.02888;NNW;6.894053083;45.88229766;G006888E45882N;3;0
